time,pitch,truePitch,volume,motorPower
1621175203.5834773,120.07302392042907,120.07302392042907,7.558311394501159e-06,3.2180928238712836
1621175203.646634,-1.0,119.85769188917905,6.274039946109994e-06,0.0
1621175203.7091677,-1.0,123.46750342332095,5.39942174812447e-06,0.0
1621175203.7657516,-1.0,80.66726220167905,5.39942174812447e-06,0.0
1621175203.826664,-1.0,121.31418311082093,5.39942174812447e-06,0.0
1621175203.893472,120.07302392042907,121.14968407667907,4.0118458108308874e-05,3.2180928238712836
1621175203.9510117,120.07302392042907,120.93435204542907,4.0118458108308874e-05,3.2180928238712836
1621175204.010503,120.71902001417905,120.71902001417905,4.0118458108308874e-05,2.959694386371289
1621175204.074318,120.71902001417905,120.50368798292908,2.4963106735144945e-05,3.0242939957462878
1621175204.1363163,120.71902001417905,63.87136376417906,1.821527188328825e-05,3.0242939957462878
1621175204.197426,120.50368798292908,120.28835595167908,1.5068940824601057e-05,3.1104268082462765
1621175204.2529294,-1.0,121.58034813917904,3.005770910351809e-06,0.0
1621175204.3133507,-1.0,119.21169579542907,6.07063305288687e-08,0.0
1621175204.3784719,-1.0,59.94455420457094,6.07063305288687e-08,0.0
1621175204.4365106,-1.0,290.400660639179,6.07063305288687e-08,0.0
1621175204.4950876,-1.0,289.754664545429,2.2969932648171371e-07,0.0
1621175204.5524473,-1.0,290.400660639179,2.2969932648171371e-07,0.0
1621175204.611742,-1.0,139.8327377983209,2.2969932648171371e-07,0.0
1621175204.6767972,-1.0,288.032008295429,1.3351136736753968e-07,0.0
1621175204.7363818,-1.0,71.19265282667904,1.0459681997754135e-07,0.0
1621175204.7969625,-1.0,60.15988623582094,7.787920183832532e-08,0.0
1621175204.8593585,-1.0,63.44069970167906,1.0459681997754135e-07,0.0
1621175204.9208002,-1.0,112.53640282667907,1.3351136736753968e-07,0.0
1621175204.971919,-1.0,110.97824561082095,1.521091484144586e-08,0.0
1621175205.0349069,-1.0,89.49587548292905,1.521091484144586e-08,0.0
1621175205.0927885,-1.0,170.40988623582095,5.679444818816203e-07,0.0
1621175205.1444008,-1.0,171.10671532667908,5.679444818816203e-07,0.0
1621175205.1896517,-1.0,162.49343407667902,5.712766560169485e-07,0.0
1621175205.2431486,-1.0,130.83962548292908,5.712766560169485e-07,0.0
1621175205.2961342,-1.0,161.36594092332092,5.712766560169485e-07,0.0
1621175205.3490088,-1.0,117.91970360792905,3.470831998640513e-07,0.0
1621175205.4018579,-1.0,136.60275732957092,3.470831998640513e-07,0.0
1621175205.4637637,-1.0,127.82497704542907,3.470831998640513e-07,0.0
1621175205.5283048,120.50368798292908,127.39431298292905,6.016677955785919e-05,3.0888936051212794
1621175205.593451,120.50368798292908,126.69748389207092,6.016677955785919e-05,3.0888936051212794
1621175205.655059,126.53298485792905,126.53298485792905,6.100729241923281e-05,0.6771748551212908
1621175205.7208688,126.53298485792905,125.88698876417907,6.016677955785919e-05,1.280104542621288
1621175205.785972,126.53298485792905,125.6208237358209,5.5105928561817466e-05,1.280104542621288
1621175205.8476949,125.88698876417907,125.40549170457095,5.4504951741665376e-05,1.5385029801212822
1621175205.914502,125.6208237358209,125.45632470167905,4.626274754948977e-05,1.5803693820895475
1621175205.9796283,125.45632470167905,125.45632470167905,3.6854390773755385e-05,1.6195524929104734
1621175206.0419123,125.45632470167905,126.05148779832093,2.885701510384577e-05,1.603102589496288
1621175206.1069665,125.45632470167905,126.69748389207092,2.376712562094056e-05,1.603102589496288
1621175206.1696885,126.05148779832093,127.34347998582095,2.1867355127277038e-05,1.3650373508395346
1621175206.2312233,126.69748389207092,127.98947607957093,1.937403251496062e-05,1.1661552230037286
1621175206.2965806,127.34347998582095,193.07058251417908,1.3367679531244812e-05,0.9723563948787158
1621175206.365697,-1.0,128.85080420457092,7.420547404439717e-07,0.0
1621175206.4453464,-1.0,64.73269188917905,7.420547404439717e-07,0.0
1621175206.5330448,-1.0,129.92746436082095,7.420547404439717e-07,0.0
1621175206.6296284,-1.0,129.97829735792908,5.965493903340969e-06,0.0
1621175206.7229838,127.98947607957093,129.71213232957092,1.7030309247642527e-05,0.7785575667537245
1621175206.8196344,129.71213232957092,129.76296532667908,1.7030309247642527e-05,0.15409467612872874
1621175206.914655,129.71213232957092,129.49680029832092,1.7030309247642527e-05,0.3263603011287273
1621175207.0060341,129.71213232957092,129.54763329542905,1.2533710876566224e-05,0.3263603011287273
1621175207.1005123,129.54763329542905,129.54763329542905,1.033630418037272e-05,0.3921599147854749
1621175207.1944435,129.54763329542905,129.33230126417905,8.783635213387062e-06,0.375710011371288
1621175207.2866213,-1.0,129.28146826707095,6.8208745241546976e-06,0.0
1621175207.3766596,-1.0,132.56228173292908,5.925416498167354e-06,0.0
1621175207.469516,-1.0,131.05495751417905,5.925416498167354e-06,0.0
1621175207.5630536,-1.0,130.14279639207095,5.925416498167354e-06,0.0
1621175207.6600883,129.54763329542905,129.92746436082095,1.3923186137436907e-05,0.375710011371288
1621175207.7487135,129.54763329542905,129.97829735792908,1.3923186137436907e-05,0.375710011371288
1621175207.8522298,129.71213232957092,129.71213232957092,1.3923186137436907e-05,0.30991039771454043
1621175207.947607,129.76296532667908,129.76296532667908,1.0652689264264456e-05,0.30602710228546354
