time,pitch,truePitch,volume,motorPower
1621174556.9255788,-1.0,75.01779639207095,0.0,0.0
1621174556.9754453,-1.0,68.82400048292905,0.0,0.0
1621174557.0241528,-1.0,92.24435889207095,1.2640894093145505e-07,0.0
1621174557.0687475,-1.0,95.95583642042904,2.220161893212732e-07,0.0
1621174557.1181436,-1.0,93.96701514207095,9.657174067665379e-07,0.0
1621174557.1748252,-1.0,70.92648779832093,9.994759932914433e-07,0.0
1621174557.2293117,-1.0,138.97140967332092,2.2867441706921424e-06,0.0
1621174557.2846282,-1.0,66.18918311082095,2.2867441706921424e-06,0.0
1621174557.3377113,-1.0,62.31320654832094,3.862816642961419e-06,0.0
1621174557.3943715,-1.0,62.79470360792905,6.690881812617446e-06,0.0
1621174557.4485579,-1.0,62.74387061082094,6.690881812617446e-06,0.0
1621174557.5041673,-1.0,62.31320654832094,2.163885700594923e-06,0.0
1621174557.5589426,-1.0,62.14870751417905,8.885949178914172e-07,0.0
1621174557.6160955,-1.0,61.93337548292905,5.908135808173785e-07,0.0
1621174557.6684554,-1.0,102.63112938917904,5.908135808173785e-07,0.0
1621174557.723928,-1.0,64.30202782667905,5.908135808173785e-07,0.0
1621174557.778182,-1.0,94.87917626417905,8.429677937578984e-07,0.0
1621174557.8339117,-1.0,63.44069970167906,8.429677937578984e-07,0.0
1621174557.8917332,-1.0,80.83176123582095,8.429677937578984e-07,0.0
1621174557.9480605,-1.0,80.45193017042905,1.8222413916589662e-07,0.0
1621174557.9969997,-1.0,80.40109717332095,3.9710524988456617e-08,0.0
1621174558.044098,-1.0,110.76291357957093,3.9710524988456617e-08,0.0
1621174558.0968695,-1.0,109.90158545457093,3.9710524988456617e-08,0.0
1621174558.1466417,-1.0,109.47092139207093,4.178713095024165e-07,0.0
1621174558.1995194,-1.0,60.21071923292905,4.178713095024165e-07,0.0
1621174558.2493134,-1.0,80.66726220167905,4.178713095024165e-07,0.0
1621174558.3012688,-1.0,125.45632470167905,4.43542422698307e-07,0.0
1621174558.3507135,-1.0,66.40451514207095,2.9245761621579064e-07,0.0
1621174558.4033182,-1.0,70.54665673292905,2.018347510130301e-07,0.0
1621174558.4514432,-1.0,69.25466454542905,1.893941540011757e-07,0.0
1621174558.50053,-1.0,169.5485581108209,2.018347510130301e-07,0.0
1621174558.5491533,-1.0,83.20041357957095,2.018347510130301e-07,0.0
1621174558.599488,0.0,82.60525048292905,8.786549115745499e-06,0.0
1621174558.6487322,0.0,82.12375342332093,8.786549115745499e-06,0.0
1621174558.7137175,82.12375342332093,82.12375342332093,8.786549115745499e-06,14.602873973003723
1621174558.872403,82.12375342332093,81.09792626417905,7.5607763799466665e-06,14.602873973003723
1621174558.9745226,-1.0,81.26242529832095,5.191671376813037e-06,0.0
1621174559.0696855,-1.0,83.89724267042905,5.03729683225573e-06,0.0
1621174559.1687732,-1.0,87.07639014207093,3.6476169076066366e-06,0.0
1621174559.2639294,-1.0,89.49587548292905,3.5344738067171174e-06,0.0
1621174559.35853,-1.0,89.28054345167905,2.5227187271408043e-06,0.0
1621174559.4674063,-1.0,89.01437842332093,1.4966900405277776e-06,0.0
1621174559.5804112,-1.0,62.95920264207094,1.3593480930296636e-06,0.0
1621174559.6932447,-1.0,88.84987938917905,1.2613059441731933e-06,0.0
1621174559.7908337,-1.0,279.203395014179,1.2613059441731933e-06,0.0
1621174559.881735,-1.0,91.81369482957095,1.3593480930296636e-06,0.0
1621174559.988447,82.12375342332093,91.21853173292905,2.1328043246785435e-05,14.602873973003723
1621174560.0767088,82.12375342332093,90.52170264207093,2.1328043246785435e-05,14.602873973003723
1621174560.1815794,90.35720360792905,90.35720360792905,2.1328043246785435e-05,11.309493899160476
1621174560.2793767,90.35720360792905,89.92653954542905,1.2373434539143673e-05,12.132838917621287
1621174560.3785813,90.52170264207093,90.95236670457093,1.1496851007601717e-05,12.067039303964535
1621174560.4751647,90.52170264207093,93.96701514207095,1.0224584478541624e-05,12.083489207378722
1621174560.575092,90.95236670457093,97.03249657667905,9.30343767797583e-06,11.911223582378723
1621174560.7571225,-1.0,103.92312157667907,6.994786273898919e-06,0.0
1621174560.863217,-1.0,105.64577782667905,6.994786273898919e-06,0.0
1621174560.9613414,-1.0,107.36843407667904,6.994786273898919e-06,0.0
